,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
7,pfb          , Plant-based fibers,pfb,0.000678,-0.042153,-0.086294,-0.131751,-0.177806,-0.225,-0.272923,-0.321865,-0.371308,-0.421366,-0.471999,-0.523523,-0.575233,-0.627421,-0.680256,-0.733632,-0.840732,-0.949405,-1.059241,-1.170451,-1.28221,-1.395057,-1.508118,-1.621418,-1.735211,-1.848455,-1.961343,-2.072802,-2.183012,-2.241299,-2.277802,-2.324459,-2.36127,-2.390883,-2.415252,-2.435719,-2.459023,-2.478431,-2.494248,-2.508099,-2.520086,-2.530574,-2.549121,-2.563817
8,ocr          , Crops nec,ocr,-0.01289,-0.029774,-0.046986,-0.06452,-0.082231,-0.100173,-0.118407,-0.136953,-0.155655,-0.174573,-0.193716,-0.21316,-0.232722,-0.252471,-0.272464,-0.292712,-0.333584,-0.375367,-0.417759,-0.460931,-0.504614,-0.549007,-0.593819,-0.6391,-0.68495,-0.731066,-0.777595,-0.824181,-0.87103,-0.887678,-0.893907,-0.902634,-0.910521,-0.91762,-0.924035,-0.929845,-0.936859,-0.94314,-0.948373,-0.953103,-0.957257,-0.960905,-0.967306,-0.972103
9,ctl          ," Cattle,sheep,goats,horses ",ctl,-0.007126,-0.027757,-0.048435,-0.069147,-0.089897,-0.110667,-0.131559,-0.152511,-0.173523,-0.194622,-0.215781,-0.23703,-0.258337,-0.279727,-0.301205,-0.322773,-0.366194,-0.410028,-0.45415,-0.498622,-0.543376,-0.588477,-0.63381,-0.67936,-0.725131,-0.771035,-0.817034,-0.86292,-0.908675,-0.919506,-0.918878,-0.918236,-0.917919,-0.917714,-0.917578,-0.917476,-0.917342,-0.917338,-0.916908,-0.916914,-0.916884,-0.916883,-0.917027,-0.917667
10,oap          , Animal products nec,oap,-0.002168,-0.016943,-0.031852,-0.046865,-0.061997,-0.077209,-0.092614,-0.108111,-0.123749,-0.139496,-0.155387,-0.17136,-0.187486,-0.203682,-0.220025,-0.236485,-0.269689,-0.303358,-0.337425,-0.371959,-0.406863,-0.442179,-0.477847,-0.513835,-0.550194,-0.58686,-0.623848,-0.661039,-0.69852,-0.711299,-0.715788,-0.722417,-0.728772,-0.73474,-0.740277,-0.745377,-0.751611,-0.757138,-0.762008,-0.766304,-0.77009,-0.77343,-0.779331,-0.783883
11,rmk          , Raw milk,rmk,-0.010674,-0.009144,-0.007738,-0.006437,-0.005223,-0.004075,-0.003085,-0.002205,-0.001421,-0.000742,-0.000155,0.000321,0.000719,0.001072,0.001272,0.001388,0.001419,0.001082,0.000489,-0.000435,-0.001579,-0.002964,-0.00449,-0.006071,-0.007768,-0.009419,-0.010956,-0.012149,-0.012986,-0.016842,-0.021607,-0.028445,-0.034772,-0.040523,-0.045734,-0.050449,-0.056124,-0.061166,-0.065342,-0.06917,-0.072526,-0.075493,-0.080799,-0.085135
12,wol          ," Wool, silk-worm cocoons ",wol,-0.061155,-0.004892,0.051284,0.107215,0.16314,0.218735,0.274091,0.329336,0.384332,0.439132,0.493672,0.548139,0.602261,0.656157,0.709985,0.763512,0.870246,0.976246,1.081583,1.186215,1.290567,1.394433,1.49824,1.601979,1.705872,1.810248,1.915414,2.022013,2.130355,2.14988,2.138734,2.120894,2.102345,2.084147,2.066804,2.05056,2.030494,2.012408,1.996672,1.982548,1.97007,1.959021,1.939368,1.923787
13,frs          , Forestry,frs,-0.007955,0.000394,0.008768,0.01715,0.025542,0.03396,0.042306,0.050634,0.058924,0.067171,0.075379,0.083541,0.091655,0.099757,0.107775,0.115736,0.131564,0.147196,0.162665,0.177891,0.192949,0.207822,0.222551,0.237181,0.251648,0.266024,0.28032,0.294635,0.308887,0.310726,0.307896,0.302913,0.297298,0.29156,0.285968,0.280661,0.274051,0.268077,0.262809,0.258114,0.253973,0.250327,0.243908,0.239042
14,fsh          , Fishing,fsh,-0.004517,-0.007763,-0.011067,-0.014435,-0.017854,-0.021313,-0.024855,-0.028455,-0.032115,-0.035827,-0.039598,-0.043419,-0.047295,-0.0512,-0.055175,-0.0592,-0.067336,-0.075646,-0.084097,-0.092726,-0.101482,-0.110362,-0.119338,-0.128369,-0.13748,-0.146617,-0.155748,-0.164798,-0.173768,-0.178488,-0.181772,-0.186589,-0.191167,-0.195441,-0.199389,-0.203012,-0.207427,-0.211325,-0.214758,-0.21778,-0.22044,-0.22278,-0.226904,-0.230056
15,coa          , Coal,coa,-0.010742,-0.020207,-0.029844,-0.039671,-0.049656,-0.059828,-0.070166,-0.080658,-0.091324,-0.102134,-0.113109,-0.124223,-0.135489,-0.146907,-0.158451,-0.170135,-0.193768,-0.217907,-0.242525,-0.26759,-0.293054,-0.31889,-0.345065,-0.371529,-0.398233,-0.42512,-0.452121,-0.47914,-0.506063,-0.518787,-0.526644,-0.538095,-0.548948,-0.559103,-0.56853,-0.577234,-0.587896,-0.597349,-0.605727,-0.61313,-0.61966,-0.625418,-0.635584,-0.643387
16,oil          , Oil,oil,-0.007451,-0.013895,-0.020389,-0.026943,-0.033546,-0.040235,-0.046986,-0.053803,-0.060702,-0.067669,-0.074718,-0.08184,-0.089033,-0.096324,-0.103675,-0.111105,-0.12612,-0.141425,-0.157031,-0.172897,-0.18902,-0.205377,-0.221966,-0.238764,-0.255722,-0.272825,-0.290047,-0.307351,-0.32466,-0.331612,-0.335317,-0.34113,-0.34711,-0.352966,-0.358567,-0.36384,-0.370386,-0.376388,-0.381547,-0.386211,-0.390349,-0.394014,-0.400515,-0.405579
17,gas          , Gas,gas,-0.00416,-0.005479,-0.006793,-0.008127,-0.009474,-0.010874,-0.012308,-0.013802,-0.015377,-0.017012,-0.018725,-0.02052,-0.022398,-0.024396,-0.026453,-0.0286,-0.033084,-0.037949,-0.043188,-0.048771,-0.054729,-0.061027,-0.067684,-0.074678,-0.081982,-0.089621,-0.097577,-0.105883,-0.114487,-0.119673,-0.124204,-0.131728,-0.139859,-0.148066,-0.156043,-0.163625,-0.173097,-0.18167,-0.189327,-0.196148,-0.202194,-0.207549,-0.217051,-0.224473
18,omn          , Minerals nec,omn,-0.018714,-0.025316,-0.032065,-0.039004,-0.046103,-0.053397,-0.06087,-0.068509,-0.076349,-0.084356,-0.092561,-0.100927,-0.109491,-0.118226,-0.127112,-0.136179,-0.154637,-0.173733,-0.193434,-0.213706,-0.234489,-0.255756,-0.277452,-0.299515,-0.321872,-0.344478,-0.367198,-0.389924,-0.412497,-0.424533,-0.433371,-0.446936,-0.460451,-0.473461,-0.485711,-0.497094,-0.511101,-0.523445,-0.534614,-0.544384,-0.552997,-0.560592,-0.573999,-0.584307
19,cmt          ," Meat: cattle,sheep,goats,horse ",cmt,-0.009638,-0.035741,-0.061696,-0.08751,-0.113196,-0.138757,-0.16431,-0.189805,-0.215246,-0.240676,-0.266069,-0.291478,-0.316855,-0.342258,-0.367679,-0.393132,-0.444226,-0.495523,-0.546936,-0.598565,-0.650359,-0.702426,-0.754655,-0.807065,-0.859676,-0.912426,-0.965314,-1.018158,-1.070985,-1.077739,-1.070139,-1.060474,-1.05287,-1.046603,-1.041326,-1.036785,-1.031465,-1.027113,-1.022785,-1.019572,-1.016716,-1.014243,-1.01008,-1.00758
