,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
,,,years from 2017,2017,2019,2021,2023,2025,2027,2029,2031,2033,2035,2037,2039,2041,2043,2045,2047,2051,2055,2059,2063,2067,2071,2075,2079,2083,2087,2091,2095,2099,2103,2107,2113,2119,2125,2131,2137,2145,2153,2161,2169,2177,2185,2201,2217
,,,qo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,capital,0,0.002759,0.005876,0.009054,0.012045,0.014643,0.016669,0.017987,0.018478,0.018047,0.016622,0.014148,0.010572,0.005872,0.000021,-0.006993,-0.023356,-0.044415,-0.070141,-0.100454,-0.13523,-0.174366,-0.21777,-0.265372,-0.317144,-0.373161,-0.433655,-0.498984,-0.569816,-0.646563,-0.729506,-0.859434,-0.992,-1.121259,-1.244057,-1.358889,-1.500648,-1.627242,-1.739817,-1.837802,-1.924962,-2.001375,-2.134613,-2.231686
,,,natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,pdr          , Paddy rice,pdr,-0.097198,0.02885,0.156469,0.285427,0.415673,0.54701,0.679442,0.812861,0.947298,1.082633,1.218935,1.35611,1.494328,1.633464,1.773676,1.914969,2.201601,2.493316,2.790731,3.094653,3.406395,3.726963,4.057809,4.400885,4.757575,5.13148,5.525512,5.943872,6.388471,6.481066,6.427977,6.351587,6.278342,6.209217,6.144871,6.085743,6.014556,5.935401,5.919564,5.843771,5.797773,5.758297,5.689497,5.636106
2,wht          , Wheat,wht,0.084523,-0.567208,-1.220191,-1.874853,-2.530988,-3.188187,-3.846556,-4.506282,-5.16699,-5.828837,-6.491385,-7.154954,-7.81943,-8.484585,-9.15016,-9.816583,-11.150802,-12.486622,-13.823843,-15.161496,-16.499857,-17.837607,-19.17494,-20.510718,-21.847319,-23.18636,-24.530371,-25.85385,-27.436268,-27.734432,-27.778905,-27.836541,-27.883693,-27.923039,-27.956647,-27.985772,-28.019875,-28.049636,-28.071033,-28.094409,-28.114156,-28.13166,-28.16334,-28.19093
3,gro          , Cereal grains nec,gro,-0.019701,-0.015189,-0.010025,-0.00459,0.001162,0.007352,0.013521,0.019852,0.026452,0.032952,0.039439,0.046141,0.052656,0.059273,0.065762,0.072253,0.085591,0.098849,0.111957,0.125179,0.138659,0.152344,0.166758,0.182182,0.198462,0.216347,0.236471,0.259976,0.281023,0.267766,0.236095,0.189142,0.143565,0.100435,0.060176,0.022969,-0.022616,-0.064112,-0.097303,-0.129931,-0.158143,-0.183153,-0.227904,-0.264457
4,v_f          ," Vegetables, fruit, nuts ",v_f,-0.087623,-0.102466,-0.117745,-0.133519,-0.149757,-0.166385,-0.183612,-0.201302,-0.219438,-0.238083,-0.257164,-0.276666,-0.296597,-0.316935,-0.337553,-0.358597,-0.401244,-0.445469,-0.4905,-0.536083,-0.581539,-0.626705,-0.670915,-0.713446,-0.753558,-0.789984,-0.821319,-0.846576,-0.855781,-0.888904,-0.925539,-0.976715,-1.022778,-1.06425,-1.101638,-1.135364,-1.175964,-1.212424,-1.240808,-1.269297,-1.293319,-1.314427,-1.351674,-1.380568
5,osd          , Oil seeds,osd,-0.0795,-0.278792,-0.475223,-0.669135,-0.860737,-1.049978,-1.23762,-1.423413,-1.607563,-1.790298,-1.971651,-2.151584,-2.330375,-2.507949,-2.684239,-2.859499,-3.2072,-3.550694,-3.890127,-4.225722,-4.557121,-4.884584,-5.20778,-5.526003,-5.839907,-6.147817,-6.449219,-6.744362,-7.019271,-7.077344,-7.0668,-7.061067,-7.066112,-7.077053,-7.091097,-7.106436,-7.127183,-7.148886,-7.162887,-7.182075,-7.197658,-7.211689,-7.237381,-7.26013
