2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.004401,0.543902,0.03618,0.007382,-0.049617,0.036798,0.018759,-0.007663,-0.027227,-0.025186,-0.011317,-0.02031,0.01233,-0.019779,-0.020365,-0.000622,-0.054108,-0.046353,0.004776,0.038721,-0.005459,0.010922,-0.003276,-0.001758,0.020017,0.002648,0.028202,0.021807,0.04615,0.034019,0.013945,0.00179,0.01609,-0.033035,0.015669,0.00065,0.030436,-0.022833,0.003183,0.04312,0.048268,0.030069,0.004391,0.006667,0.007124,-0.066056,-0.014745,-0.001083,-0.027306,-0.013103,-0.000964,0.017497,0.024656,0.004952,-0.004952,-0.013307,-0.026937,-0.11196
unsklab,0.100901,0.78414,0.141121,0.104674,0.032545,0.141902,0.119073,0.085634,0.060877,0.06346,0.08101,0.06963,0.119423,0.080852,0.023184,0.046885,-0.017324,-0.008015,-0.009406,0.062562,-0.0311,0.003623,-0.026473,-0.023255,0.022905,-0.013915,0.033985,0.019531,0.074553,0.047133,0.001765,-0.0257,0.006613,-0.104365,0.00566,-0.028275,0.039033,-0.081325,-0.022554,0.067703,0.079343,0.038204,-0.019823,-0.014681,-0.013649,-0.198357,-0.067114,-0.030514,-0.100755,-0.062714,-0.019389,0.02233,0.03851,-0.006021,-0.028399,-0.047276,-0.078068,-0.234541
sklab,0.10601,0.789283,0.146232,0.109783,0.03765,0.147013,0.124182,0.090742,0.065984,0.068566,0.086118,0.074737,0.12329,0.084717,0.027046,0.050749,-0.013463,-0.004154,0.01222,0.084203,-0.009479,0.025252,-0.004851,-0.001632,0.044538,0.007709,0.058325,0.043867,0.098903,0.071476,0.026097,-0.001374,0.030946,-0.080059,0.029993,-0.00395,0.063374,-0.057013,0.001772,0.092052,0.103694,0.062545,0.004504,0.009648,0.010679,-0.171375,-0.034692,0.00192,-0.068344,-0.030291,0.004939,0.046667,0.062851,0.018309,-0.004074,-0.022955,-0.053755,-0.215276
capital,0.004252,0.68683,0.044432,0.008021,-0.064039,0.045213,0.022405,-0.011001,-0.035734,-0.033154,-0.01562,-0.02699,0.013803,-0.024727,-0.02543,-0.00174,-0.065918,-0.056614,0.004563,0.076541,-0.017134,0.017594,-0.012506,-0.009288,0.036879,0.000053,0.057489,0.043031,0.098066,0.07064,0.025261,-0.00221,0.03011,-0.080894,0.029157,-0.004786,0.062537,-0.057849,0.000936,0.091215,0.102857,0.061708,0.003668,0.008812,0.009843,-0.165401,-0.04785,-0.011243,-0.081497,-0.043449,-0.008434,0.033289,0.049471,0.004935,-0.017445,-0.036324,-0.06712,-0.228748
natres,0.000088,0.002652,0.000239,0.000102,-0.00017,0.000242,0.000156,0.00003,-0.000063,-0.000053,0.000013,-0.00003,0.00014,-0.000051,-0.000055,0.000063,-0.000256,-0.00021,0.000076,0.00014,0.000057,0.000088,0.000061,0.000064,0.000105,0.000072,0.000118,0.000106,0.00015,0.000128,0.000092,0.00007,0.000096,0.000008,0.000095,0.000068,0.000122,0.000026,0.000073,0.000144,0.000154,0.000121,0.000075,0.000079,0.00008,-0.000046,0.000044,0.000065,0.000023,0.000046,0.000065,0.000098,0.000111,0.000076,0.000058,0.000043,0.000019,-0.000157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.027009,0.907434,0.070634,0.000414,-0.10218,0.074222,-0.022619,-0.031978,-0.047278,-0.047872,-0.045016,-0.038355,-0.034977,-0.047916,-0.039832,-0.0096,-0.106705,-0.068599,0.015431,0.037062,-0.001851,0.010463,0.008972,0.002184,0.022927,0.012575,0.035036,0.033148,0.063148,0.023269,0.020065,0.010303,0.016266,-0.027331,0.017483,-0.000083,0.039874,-0.020058,0.006716,0.05282,0.052579,0.036413,0.006843,0.010441,0.010994,-0.054354,-0.018479,0.002263,-0.02272,-0.008287,-0.005108,0.014458,0.027262,0.002253,-0.012436,-0.020157,-0.040547,-0.126793
unsklab,0.222661,1.339259,0.277927,0.188972,0.059035,0.282473,0.159797,0.147942,0.128565,0.127812,0.13143,0.139866,0.165572,0.150014,0.045635,0.081944,-0.034677,0.011086,-0.016666,0.029183,-0.053289,-0.027194,-0.030354,-0.044738,-0.000779,-0.022719,0.008058,0.003793,0.071583,-0.018527,-0.025765,-0.047815,-0.034346,-0.132798,-0.031598,-0.071273,0.018988,-0.116378,-0.055918,0.048242,0.047699,0.011169,-0.05563,-0.047505,-0.046256,-0.223079,-0.120161,-0.064618,-0.131516,-0.092872,-0.057556,-0.013353,0.015577,-0.040928,-0.074107,-0.091546,-0.137588,-0.284094
sklab,0.23464,1.351372,0.289912,0.200947,0.070994,0.294459,0.171768,0.159912,0.140533,0.13978,0.143397,0.151835,0.174631,0.159072,0.054683,0.090996,-0.025636,0.020131,0.033983,0.079855,-0.002659,0.023449,0.020287,0.005897,0.049878,0.027927,0.065054,0.060786,0.128615,0.038453,0.031211,0.009149,0.022625,-0.075883,0.025375,-0.014323,0.07599,-0.059453,0.001042,0.105261,0.104717,0.068166,0.001329,0.009459,0.010709,-0.159895,-0.044257,0.011328,-0.055621,-0.016947,-0.000598,0.043631,0.072577,0.016039,-0.017158,-0.034607,-0.080675,-0.238994
capital,0.028666,1.143103,0.083824,-0.004958,-0.134644,0.088362,-0.034077,-0.045908,-0.065248,-0.066,-0.062389,-0.053969,-0.046117,-0.061642,-0.051942,-0.015668,-0.132175,-0.086457,0.009483,0.055344,-0.02715,-0.001048,-0.004209,-0.018596,0.025374,0.003429,0.05305,0.048783,0.116604,0.026453,0.019212,-0.002848,0.010627,-0.08787,0.013376,-0.026317,0.063985,-0.071442,-0.010954,0.093252,0.092709,0.056162,-0.010667,-0.002538,-0.001288,-0.159394,-0.084337,-0.028774,-0.095695,-0.057037,-0.03767,0.006542,0.035477,-0.021039,-0.054225,-0.071667,-0.117718,-0.27411
natres,0.000309,0.004486,0.000517,0.000183,-0.000307,0.000534,0.000073,0.000028,-0.000045,-0.000048,-0.000034,-0.000002,-0.000028,-0.000106,-0.000057,0.000123,-0.000457,-0.000229,0.00021,0.000251,0.000178,0.000201,0.000198,0.000185,0.000224,0.000205,0.000244,0.000241,0.000294,0.000223,0.000217,0.0002,0.00021,0.000132,0.000212,0.000181,0.000253,0.000145,0.000193,0.000276,0.000275,0.000246,0.000193,0.0002,0.000201,0.000088,0.000152,0.000185,0.000145,0.000168,0.000172,0.000207,0.00023,0.000185,0.000159,0.000145,0.000108,-0.000072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.115664,2.385259,0.207259,-0.026162,-0.312924,0.222393,-0.196482,-0.127346,-0.128079,-0.138691,-0.185164,-0.111278,-0.23384,-0.16163,-0.121317,-0.0478,-0.322176,-0.161339,0.06574,0.035619,0.020293,0.015483,0.066115,0.027207,0.043047,0.060191,0.067466,0.086089,0.135048,-0.015888,0.051018,0.05187,0.022472,0.004197,0.027431,0.000666,0.082624,-0.002059,0.026302,0.096247,0.072505,0.067051,0.024127,0.032373,0.034217,0.004024,-0.02397,0.025997,0.007745,0.02285,-0.01408,0.006961,0.042768,-0.002817,-0.035997,-0.041147,-0.083292,-0.17657
unsklab,0.706825,3.601832,0.823328,0.526489,0.162068,0.84258,0.310011,0.397871,0.39694,0.383452,0.324394,0.418294,0.337362,0.424516,0.128932,0.21738,-0.112654,0.080788,-0.0433,-0.107076,-0.139517,-0.149698,-0.042505,-0.124882,-0.091349,-0.055049,-0.099725,-0.057702,0.052819,-0.287693,-0.136832,-0.13491,-0.201213,-0.242418,-0.190031,-0.250379,-0.065523,-0.256521,-0.192577,-0.034778,-0.088356,-0.100661,-0.197481,-0.178887,-0.174728,-0.311619,-0.327567,-0.194005,-0.242807,-0.202422,-0.208465,-0.160999,-0.080191,-0.183057,-0.257894,-0.269506,-0.36451,-0.475321
