qo,aus,nzl,xoc,chn,hkg,jpn,kor,mng,twn,xea,brn,khm,idn,lao,mys,phl,sgp,tha,vnm,xse,bgd,ind,npl,pak,lka,xsa,can,usa,mex,xna,arg,bol,bra,chl,col,ecu,pry,per,ury,ven,xsm,cri,gtm,hnd,nic,pan,slv,xca,dom,jam,pri,tto,xcb,aut,bel,cyp,cze,dnk,est,fin,fra,deu,grc,hun,irl,ita,lva,ltu,lux,mlt,nld,pol,prt,svk,svn,esp,swe,gbr,che,nor,xef,alb,bgr,blr,hrv,rou,rus,ukr,xee,xer,kaz,kgz,xsu,arm,aze,geo,bhr,irn,isr,jor,kwt,omn,qat,sau,tur,are,xws,egy,mar,tun,xnf,bfa,cmr,civ,gha,gin,nga,sen,tgo,xwf,xcf,xac,eth,ken,mdg,mwi,mus,moz,rwa,tza,uga,zmb,zwe,xec,bwa,nam,zaf,xsc,xtw
land,0,-0.0242,-0.213,0,-0.8762,-0.0752,-0.0142,0,-0.0142,-0.0142,-0.1094,0,0,0,-0.0042,-0.01,-2.12,0,0,0,0,0,0,0,0,0,-0.0042,0,0,-0.5396,0,0,0,-0.01,0,-0.0042,0,0,0,0,-0.0184,-0.0142,0,0,0,-0.0042,-0.0184,-0.0468,-0.01,-0.0426,-0.061,-0.1236,-0.0284,0,0,-0.0384,0,-0.0042,0,0,0,0,-0.01,0,0,0,0,0,0,-0.0142,0,0,0,0,0,0,0,0,0,-0.0042,0,0,0,0,-0.071,0,0,0,0,0,0,0,0,0,0,0,-0.274,0,-0.0042,0,-0.0426,-0.0142,-0.1178,0,0,-0.0326,0,-0.0142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242,0,0,0,0,0,0,0,0,0,0,0,-0.0752
unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capital,-0.020338,0.183348,-0.423789,-0.212895,-0.397119,0.070204,0.101344,-0.40214,-0.668934,-1.208928,-0.503497,-1.535045,-1.886334,-1.887196,-1.55188,-2.276282,-1.307101,-0.869329,-0.90278,-1.973553,-1.139486,-1.47241,0.021077,-0.669376,-1.454893,-1.46901,0.115648,0.056585,0.065427,0.096,0.133611,-0.137817,-0.140845,0.035224,-0.479601,-0.19394,-0.612419,-0.091154,0.047467,-0.292517,-0.001982,-0.3846,-0.012926,-1.324169,-1.435745,-1.237283,-0.170728,-0.767579,-0.799283,-0.833426,-0.651596,-0.794545,-1.049913,0.156696,0.100164,0.118269,0.176333,0.110336,0.053756,0.169675,0.147485,0.122617,0.240377,0.164461,0.122237,0.190302,0.159664,0.202847,0.159611,0.215327,0.129528,0.152936,0.148184,0.22179,0.104546,0.148585,0.119063,0.104349,0.069504,0.011122,0.170498,-0.049402,0.363398,0.09954,0.183632,0.128463,0.007531,0.207691,0.419492,0.220677,-0.08457,-0.293542,-0.021345,-0.554355,-0.281071,-0.275304,-0.45702,-0.220458,-0.2226,-0.284012,-0.503602,-0.36441,-0.762934,-0.705071,0.156331,-0.85882,-0.283128,-0.378193,-0.010486,-0.134531,-0.201255,-2.306627,-0.985161,-2.15981,-2.399155,-1.055094,-1.301726,-1.866184,-2.988956,-2.562233,-0.364216,-0.412635,-0.525053,-0.677267,-0.73698,-0.614419,-0.840038,-0.895104,-0.686878,-0.373006,-0.702494,-0.232647,-0.423703,-1.253847,-0.065567,-0.003635,-0.127918,-0.15793,-0.053118
natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdr,0.60048,-0.634689,6.402235,-0.153098,-0.381764,-0.197638,-0.492266,-0.583187,-0.253416,-0.474708,0.685785,-1.621937,-1.341944,-1.694543,-0.561186,-1.75424,-0.158329,-1.202304,-0.88011,-2.03869,-1.22601,-1.179457,-0.591147,-0.697279,-1.309456,-1.721158,-2.105864,0.036868,0.608755,0.307711,-1.989022,-0.135117,0.360845,-0.436985,-0.464873,0.194525,-0.641804,-0.255609,-1.183588,-0.286237,-1.038597,0.154407,2.852749,0.240382,-1.651481,-0.998098,0.969719,-0.946575,-0.588833,-2.218271,-0.291075,-1.818167,-1.573027,0.093493,-2.460751,1.476233,-0.090932,-4.043656,-2.913543,-0.937909,-3.947305,-2.054176,0.364445,-2.140885,-1.501843,-0.766355,-1.205427,0.987934,-0.156142,1.111222,-2.152539,-2.597673,-0.965371,-2.909848,-0.653033,-1.217567,-2.443974,-4.279712,-1.902419,-1.982712,0.131221,-2.148174,-1.864399,0.091381,-0.992543,-2.365981,-1.352365,-0.027911,0.110587,-1.424815,0.448504,0.330287,0.546779,-2.374297,-0.381244,-0.771138,-0.451653,-0.356357,0.789641,-1.612978,-0.010424,-0.386859,-0.73822,3.410574,-0.170173,6.683193,-1.528007,-0.793545,-0.59887,0.435238,-0.700353,-8.311442,0.227651,-2.663021,-2.556527,-1.679129,-3.112731,-4.042717,-3.720744,-2.760368,-0.871746,-0.596803,1.547617,-2.476916,-1.727896,-1.514991,-1.089496,-1.385559,-1.032919,-0.492901,0.969162,-0.633102,1.485561,-1.580649,-0.502118,0.763787,-0.17211,-0.211257,-1.196296
wht,5.875158,-2.454681,7.66399,-0.082543,3.005408,2.057526,-0.542456,-0.069883,0.702272,3.501451,40.264418,7.2222,6.212934,2.836281,34.563384,1.990085,9.164142,4.15408,12.087023,40.638726,4.154051,-1.290544,-0.426075,-0.404467,4.784775,-0.462221,-13.170373,1.351273,8.782,-0.735274,-0.94082,1.318611,12.104071,0.855003,13.60796,9.202984,9.127827,4.866142,3.139765,10.906649,8.564216,12.337758,12.170281,0.443307,15.23925,35.740554,10.186849,7.407733,33.952807,7.801496,8.050909,13.804273,2.985815,0.691492,-1.438853,8.377216,-1.185747,-1.207853,-4.299551,-3.996956,0.025428,-1.520587,4.624481,-0.871568,0.036662,2.077254,-5.877704,-3.502994,-1.962491,6.77281,-3.511937,-0.830305,5.534233,0.164602,-0.729341,2.323558,-3.422583,-1.145557,-2.22201,-4.383624,1.686495,0.161957,6.119057,0.581292,0.274614,-2.588553,-7.730205,-3.123105,-1.522902,-1.941269,-0.045499,0.308171,0.274398,0.983398,0.594144,1.258945,4.219281,-0.150421,10.768559,6.689941,0.270107,5.705279,0.868947,0.187769,1.185274,9.857959,0.806081,3.793059,1.718664,-0.230909,-1.239691,-1.734067,5.451123,17.67116,8.036781,14.954765,-4.399189,12.920802,24.808594,14.00049,18.175014,11.822086,7.221994,18.991949,1.67777,1.87493,-1.749427,-2.184453,12.197738,19.259434,9.57956,0.448344,5.054506,5.440851,3.882229,9.982898,4.025056,5.836806,5.098893
gro,-0.91424,0.365125,-1.385458,-0.099195,-0.910752,-0.48759,-0.869401,-0.397678,-0.654035,-1.640539,-1.528411,-1.892209,-2.27623,-1.451827,-2.502313,-2.180081,-2.288551,-2.010682,-1.333557,-2.197062,-1.530572,-1.295151,-0.512524,-0.748556,-1.774729,-1.613141,1.579558,-0.192787,-0.613196,0.14684,0.111326,-0.655379,-0.633687,-0.397496,-1.71237,-0.356296,-1.128541,-1.068655,-0.331303,-1.19784,-0.404468,-2.183597,-0.592603,-1.649478,-1.975485,-2.85489,-0.912533,-2.559523,-1.975082,-1.794134,-2.372662,-4.537638,-2.178309,0.390314,0.837898,-1.092539,-0.281439,0.325456,0.531877,1.149047,0.233244,0.128651,-0.174286,-0.221777,0.484491,0.009896,0.058454,0.248626,0.177899,-0.110708,0.36336,-0.038704,-0.015069,0.007428,-0.040202,-0.159589,0.532143,0.326825,0.556547,0.236972,0.475087,-0.389545,-0.068062,-0.004476,-0.098083,0.003161,0.727257,0.246645,-0.045743,0.051051,0.207542,-0.340866,-0.108198,-0.346617,-0.49441,-0.141645,-0.380912,-0.376317,-0.835776,-0.322539,-1.029909,-0.888848,-1.239131,-2.049221,-0.119234,-1.379488,-0.520702,-1.122597,-0.574832,-1.322859,-0.877436,-3.396907,-1.580063,-2.803114,-3.191212,-1.850634,-3.229979,-2.565226,-3.336171,-3.037457,-1.238629,-0.767915,-1.065476,-1.379721,-1.415841,-1.506094,-1.627307,-1.750734,-1.522204,-1.29664,-1.14892,-0.837599,-0.697345,-1.13834,-0.343029,-0.091841,-0.063551,-0.406701,0.162383
v_f,-0.724884,2.514968,-1.463951,-0.148383,-1.893678,0.096068,-0.106267,0.576984,-0.955913,-2.30482,-3.241485,-2.400785,-2.091635,-1.867636,-3.318589,-3.535806,-5.139205,-2.338304,-2.370188,-2.256041,-1.822943,-1.478049,0.261199,-1.293261,-1.982946,-1.920258,4.797174,0.692588,-1.33499,0.117208,-0.170442,-0.933725,-1.096424,1.330012,-1.452229,-2.100554,-0.623177,-1.399565,-0.387868,-0.722627,-0.844228,-3.656259,-1.076337,-2.346239,-2.209067,-5.485876,-0.79303,-6.791018,-2.129499,-2.49192,-2.178516,-5.00905,-1.838776,1.484107,1.249579,-1.682827,0.427425,1.529587,0.614176,0.806219,1.068924,1.30147,-0.420065,1.030744,2.002974,-0.130002,0.885169,0.928285,1.37619,-0.450829,1.365432,0.761298,-0.193537,0.522378,0.192849,-0.007166,1.792362,1.505367,0.519911,1.384453,0.992137,-0.206349,-0.431786,0.066145,0.36087,0.032076,0.829123,0.089753,0.10175,0.163379,-0.173728,0.500134,0.091893,-0.052717,-0.675806,0.337455,-1.8023,-0.497641,-0.431009,-0.068684,-1.801706,-1.607431,-1.905075,-1.344399,0.273815,-1.395924,-0.595759,-1.184566,-0.58594,-0.236669,-0.27146,-5.375681,-1.669181,-3.822699,-3.485178,-3.192477,-3.219107,-3.418687,-4.413761,-4.626138,-1.369745,-1.072891,-1.209185,-1.449801,-2.210478,-1.596817,-1.316899,-2.006422,-1.51885,-1.384831,-0.919273,-0.8991,-1.259455,-1.635048,-0.493586,-0.597416,-0.349842,-0.462503,0.013938
osd,-2.39759,4.463541,-3.550731,0.439827,-4.364695,-0.531115,-0.481798,7.025214,-3.933722,-6.041979,-2.47326,-2.446359,-3.177524,-2.167208,-3.32839,-2.960006,-4.98136,-4.120036,-3.772474,-2.750003,-2.074863,-1.794043,1.252287,-1.292539,-2.303997,-2.29756,4.715228,1.248931,-3.761173,0.28803,-0.322071,-1.866508,-2.486722,0.147387,-1.481713,-0.166749,-3.353945,-0.874785,-1.479142,-3.693637,-1.39137,-3.658787,-1.348609,-2.778467,-6.248409,-2.650141,-0.204713,-2.263736,-1.955436,-1.054408,-4.803553,-6.383538,-2.78149,2.509976,2.577721,-0.246812,0.643274,2.529465,1.020574,2.406822,1.387093,1.360828,0.614268,0.288409,2.109601,0.724639,1.934018,0.951209,2.831989,-0.8546,1.125591,0.65118,0.903649,0.916149,0.911082,0.61289,2.358231,1.674162,2.82034,2.812246,2.274089,-0.148261,1.842368,-0.182742,0.830857,0.92913,2.3268,1.590094,0.698004,0.236859,1.122173,0.206694,1.179378,-0.681238,-1.461596,3.192344,6.189722,-0.639041,-1.153138,0.247807,-0.181035,-1.504655,1.111087,-1.294663,1.248812,-0.896574,-0.858825,-2.50169,-0.865914,-2.644141,0.046864,-11.557363,-1.420124,-1.539968,-3.563421,-2.163634,-4.182585,-2.98625,-7.397336,-5.412143,-1.497584,-0.826353,-5.605052,-1.275824,-1.842176,-1.360209,-5.809217,-3.299369,-1.555722,-2.053739,-2.575415,-0.815525,-0.380355,-3.47162,-0.396448,-0.320157,0.052622,-0.030369,-0.457257
