,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
,,,years from 2017,2017,2019,2021,2023,2025,2027,2029,2031,2033,2035,2037,2039,2041,2043,2045,2047,2051,2055,2059,2063,2067,2071,2075,2079,2083,2087,2091,2095,2099,2103,2107,2113,2119,2125,2131,2137,2145,2153,2161,2169,2177,2185,2201,2217
,,,qo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,capital,0,-0.020198,-0.042499,-0.066648,-0.092428,-0.119655,-0.148168,-0.177833,-0.208532,-0.240163,-0.272639,-0.305884,-0.339833,-0.374425,-0.409609,-0.445338,-0.517802,-0.592131,-0.66804,-0.745277,-0.823606,-0.90278,-0.982528,-1.06252,-1.142349,-1.221487,-1.299228,-1.37462,-1.446374,-1.512727,-1.567109,-1.632117,-1.679138,-1.71534,-1.744682,-1.769395,-1.797898,-1.821866,-1.842448,-1.86037,-1.876044,-1.889791,-1.913945,-1.932276
,,,natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,pdr          , Paddy rice,pdr,-0.019821,-0.048372,-0.077521,-0.10704,-0.137095,-0.167429,-0.198198,-0.229161,-0.260473,-0.291949,-0.323728,-0.355607,-0.387757,-0.419973,-0.452389,-0.484858,-0.550123,-0.61578,-0.681736,-0.747822,-0.813999,-0.88011,-0.946075,-1.011723,-1.076807,-1.141172,-1.20446,-1.266337,-1.326251,-1.35352,-1.367641,-1.384837,-1.397453,-1.407078,-1.414679,-1.420868,-1.427766,-1.433278,-1.437929,-1.441845,-1.445217,-1.448146,-1.453273,-1.457177
2,wht          , Wheat,wht,0.207207,0.610749,1.01665,1.425247,1.836202,2.249696,2.666063,3.085512,3.50765,3.932311,4.360302,4.790699,5.224373,5.660789,6.099682,6.542303,7.436198,8.342139,9.260398,10.190735,11.132474,12.087023,13.053481,14.030947,15.018095,16.01671,17.023593,18.037664,19.0565,19.293585,19.274267,19.254668,19.244819,19.240255,19.238578,19.238469,19.239451,19.241163,19.243151,19.245053,19.246844,19.2485,19.251549,19.254205
3,gro          , Cereal grains nec,gro,0.002823,-0.043601,-0.090522,-0.137822,-0.185487,-0.233492,-0.281771,-0.330315,-0.379111,-0.428092,-0.477284,-0.526687,-0.576218,-0.625905,-0.67576,-0.725737,-0.825985,-0.926722,-1.027904,-1.129469,-1.231331,-1.333557,-1.436044,-1.538725,-1.641591,-1.744566,-1.847521,-1.95041,-2.053041,-2.088228,-2.098733,-2.111031,-2.119639,-2.126086,-2.131217,-2.135493,-2.14039,-2.144544,-2.147981,-2.151055,-2.153735,-2.156078,-2.160176,-2.163229
4,v_f          ," Vegetables, fruit, nuts ",v_f,0.017334,-0.070604,-0.158615,-0.246672,-0.334732,-0.422837,-0.510921,-0.599111,-0.687352,-0.775608,-0.863901,-0.952191,-1.040542,-1.128932,-1.21732,-1.305767,-1.482758,-1.659783,-1.837085,-2.014594,-2.19223,-2.370188,-2.548416,-2.726909,-2.905899,-3.085472,-3.26573,-3.446832,-3.629099,-3.67545,-3.676205,-3.676982,-3.677442,-3.67779,-3.678109,-3.678425,-3.67885,-3.679271,-3.679677,-3.680057,-3.680401,-3.680707,-3.681235,-3.681597
5,osd          , Oil seeds,osd,0.004165,-0.134937,-0.274319,-0.413911,-0.553667,-0.69353,-0.833327,-0.973366,-1.113466,-1.253598,-1.39376,-1.533959,-1.674124,-1.814261,-1.954432,-2.094544,-2.37466,-2.654426,-2.934215,-3.213818,-3.493257,-3.772474,-4.051473,-4.330042,-4.608566,-4.886775,-5.164693,-5.442285,-5.719537,-5.795071,-5.801525,-5.808213,-5.811947,-5.814255,-5.81587,-5.817136,-5.818579,-5.819797,-5.820949,-5.821958,-5.822871,-5.823694,-5.825171,-5.826346
