2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.017712,0.192534,-0.030438,-0.034344,-0.085352,-0.005096,-0.033095,-0.022854,-0.059234,-0.05029,-0.04384,-0.040324,-0.03464,-0.049149,-0.06564,-0.054178,-0.043194,-0.059745,-0.127716,-0.114574,-0.11347,-0.118075,-0.111162,-0.112629,-0.114938,-0.114955,-0.124045,-0.123891,-0.144102,-0.116991,-0.11886,-0.118522,-0.120811,-0.11238,-0.120353,-0.134588,-0.118031,-0.114548,-0.112152,-0.114969,-0.116151,-0.120549,-0.122196,-0.126191,-0.11941,-0.112353,-0.130649,-0.132067,-0.136947,-0.132367,-0.119846,-0.117898,-0.118596,-0.11626,-0.118427,-0.118152,-0.120877,-0.093038
unsklab,0.08,0.301217,0.019089,0.014149,-0.050368,0.051146,0.015729,0.028683,-0.017334,-0.006021,0.002137,0.006584,0.002869,-0.014548,-0.034344,-0.020585,-0.0074,-0.027267,-0.038597,-0.01071,-0.008366,-0.018139,-0.003469,-0.006583,-0.011483,-0.011518,-0.019596,-0.01925,-0.064967,-0.003639,-0.007867,-0.007101,-0.012282,0.006796,-0.011245,-0.043448,-0.005991,0.00189,0.007312,0.000938,-0.001738,-0.011688,-0.015414,-0.024452,-0.00911,0.01971,-0.003679,-0.007483,-0.02058,-0.00829,-0.010097,-0.00569,-0.007269,-0.001985,-0.006887,-0.006265,-0.012431,0.02166
sklab,0.08067,0.301889,0.019759,0.014819,-0.049699,0.051816,0.016398,0.029353,-0.016665,-0.005352,0.002806,0.007254,0.003375,-0.014042,-0.033838,-0.020079,-0.006893,-0.026761,-0.035762,-0.007875,-0.00553,-0.015304,-0.000634,-0.003747,-0.008647,-0.008683,-0.016406,-0.01606,-0.061779,-0.000449,-0.004677,-0.003911,-0.009092,0.009986,-0.008055,-0.040259,-0.002801,0.005081,0.010502,0.004128,0.001452,-0.008498,-0.012224,-0.021263,-0.00592,0.023255,0.000575,-0.00323,-0.016327,-0.004037,-0.006907,-0.0025,-0.004079,0.001206,-0.003696,-0.003075,-0.009241,0.024193
capital,0.080066,0.301284,0.019155,0.014215,-0.050302,0.051212,0.015795,0.028749,-0.017268,-0.005955,0.002203,0.00665,0.002043,-0.015374,-0.035169,-0.021411,-0.008225,-0.028093,-0.026665,0.001224,0.003569,-0.006205,0.008466,0.005352,0.000452,0.000416,-0.005721,-0.005374,-0.051098,0.010239,0.006009,0.006776,0.001595,0.020675,0.002631,-0.029576,0.007886,0.015768,0.021191,0.014816,0.01214,0.002188,-0.001538,-0.010578,0.004766,0.035533,0.016025,0.01222,-0.000879,0.011413,0.00378,0.008187,0.006608,0.011893,0.00699,0.007612,0.001446,0.031934
natres,0.000435,0.001267,0.000206,0.000187,-0.000056,0.000326,0.000193,0.000242,0.000068,0.000111,0.000142,0.000159,0.000143,0.000057,-0.000042,0.000027,0.000092,-0.000006,0.00011,0.000135,0.000137,0.000128,0.000141,0.000139,0.000134,0.000134,0.000129,0.00013,0.000093,0.000142,0.000139,0.000139,0.000135,0.00015,0.000136,0.00011,0.00014,0.000146,0.000151,0.000146,0.000144,0.000136,0.000133,0.000126,0.000138,0.000159,0.000143,0.000141,0.000133,0.000141,0.000137,0.00014,0.000139,0.000143,0.000139,0.00014,0.000135,0.000166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.048277,0.371343,-0.062288,-0.060587,-0.164582,-0.006442,-0.075959,-0.043434,-0.120722,-0.107012,-0.087077,-0.038286,-0.069013,-0.098007,-0.123156,-0.106088,-0.088382,-0.10947,-0.275587,-0.250109,-0.225053,-0.255277,-0.233847,-0.243384,-0.25243,-0.254809,-0.259686,-0.26357,-0.295791,-0.257305,-0.263134,-0.261876,-0.26397,-0.25566,-0.265175,-0.280154,-0.261244,-0.259296,-0.254911,-0.256008,-0.260639,-0.262714,-0.267091,-0.271778,-0.264092,-0.261246,-0.291833,-0.293558,-0.300162,-0.29423,-0.265192,-0.262196,-0.262821,-0.260397,-0.263402,-0.262307,-0.266436,-0.222058
