,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
6,c_b          ," Sugar cane, sugar beet ",c_b,-0.003391,-0.195316,-0.390628,-0.589101,-0.790413,-0.99432,-1.200681,-1.409296,-1.620047,-1.832804,-2.047442,-2.263898,-2.482091,-2.701962,-2.923465,-3.146536,-3.596348,-4.05191,-4.513145,-4.979727,-5.45142,-5.927961,-6.40896,-6.894169,-7.382621,-7.873886,-8.366926,-8.860682,-9.34969,-9.535393,-9.60382,-9.685051,-9.74273,-9.78637,-9.821242,-9.850335,-9.883661,-9.912211,-9.935472,-9.956871,-9.975453,-9.991729,-10.020357,-10.042187
7,pfb          , Plant-based fibers,pfb,0.325668,-0.276088,-0.884647,-1.499252,-2.118823,-2.742423,-3.36989,-4.000222,-4.633208,-5.268351,-5.905441,-6.54419,-7.184213,-7.825525,-8.467911,-9.110775,-10.39877,-11.688815,-12.981461,-14.276093,-15.572944,-16.872154,-18.173702,-19.476301,-20.7862,-22.099541,-23.419756,-24.748003,-26.094831,-26.586817,-26.751796,-26.939917,-27.062856,-27.148327,-27.211515,-27.261008,-27.315177,-27.354773,-27.401291,-27.426831,-27.453526,-27.476956,-27.518082,-27.54865
8,ocr          , Crops nec,ocr,0.049063,-0.407264,-0.863822,-1.321054,-1.778901,-2.237228,-2.69662,-3.156865,-3.618091,-4.080368,-4.543895,-5.008608,-5.474522,-5.942014,-6.411028,-6.881284,-7.828437,-8.781474,-9.7429,-10.713029,-11.693327,-12.685425,-13.689438,-14.707536,-15.743498,-16.798307,-17.876577,-18.98049,-20.138963,-20.371714,-20.337768,-20.287448,-20.249769,-20.220263,-20.197579,-20.179854,-20.161898,-20.151616,-20.11405,-20.110727,-20.104056,-20.097704,-20.085936,-20.0774
9,ctl          ," Cattle,sheep,goats,horses ",ctl,-0.030377,-0.229108,-0.430444,-0.634277,-0.840474,-1.048919,-1.259558,-1.472273,-1.68705,-1.903824,-2.122506,-2.343078,-2.565542,-2.789827,-3.015944,-3.243848,-3.70425,-4.171557,-4.645839,-5.12696,-5.61482,-6.109255,-6.610047,-7.116823,-7.629164,-8.146391,-8.667547,-9.191288,-9.714814,-9.89268,-9.94634,-10.01398,-10.066677,-10.109592,-10.145747,-10.176958,-10.213461,-10.245188,-10.270528,-10.294939,-10.315692,-10.333849,-10.36577,-10.390165
10,oap          , Animal products nec,oap,-0.007157,-0.218912,-0.432819,-0.648816,-0.86682,-1.086753,-1.30859,-1.532247,-1.757731,-1.984999,-2.213987,-2.444686,-2.67712,-2.911233,-3.147045,-3.384527,-3.863971,-4.349979,-4.84269,-5.34206,-5.848136,-6.360851,-6.880128,-7.405779,-7.937574,-8.475185,-9.017995,-9.565138,-10.11452,-10.287918,-10.327922,-10.378959,-10.419306,-10.452504,-10.480667,-10.505105,-10.533844,-10.557844,-10.580536,-10.598237,-10.614478,-10.628774,-10.653999,-10.673289
11,rmk          , Raw milk,rmk,0.117936,-0.155448,-0.435118,-0.720454,-1.01085,-1.305769,-1.604879,-1.907739,-2.214116,-2.523726,-2.836308,-3.151708,-3.469795,-3.790369,-4.113375,-4.438693,-5.094755,-5.75969,-6.432817,-7.113766,-7.802552,-8.498896,-9.202646,-9.913885,-10.63234,-11.358658,-12.092557,-12.831646,-13.598517,-13.902242,-14.034493,-14.188879,-14.295132,-14.372635,-14.4324,-14.48071,-14.534768,-14.577657,-14.617777,-14.6471,-14.675194,-14.699763,-14.742943,-14.775912
12,wol          ," Wool, silk-worm cocoons ",wol,-0.005474,-0.205379,-0.408329,-0.614187,-0.822853,-1.034214,-1.248193,-1.464683,-1.68369,-1.905153,-2.12897,-2.355106,-2.583626,-2.814439,-3.047548,-3.28293,-3.759806,-4.245691,-4.740669,-5.244693,-5.758009,-6.280519,-6.812233,-7.353149,-7.903012,-8.462029,-9.029754,-9.606129,-10.186785,-10.384962,-10.440987,-10.513413,-10.571682,-10.620471,-10.662507,-10.699489,-10.743439,-10.77996,-10.816883,-10.843484,-10.868799,-10.891128,-10.930492,-10.960238
13,frs          , Forestry,frs,0.312187,-0.016073,-0.356195,-0.707188,-1.068221,-1.438641,-1.81784,-2.205396,-2.600885,-3.003961,-3.414379,-3.831864,-4.256355,-4.687607,-5.125531,-5.570134,-6.476433,-7.409377,-8.368151,-9.352717,-10.363318,-11.400128,-12.463498,-13.554627,-14.672689,-15.820273,-16.998034,-18.208029,-19.450839,-19.989251,-20.228742,-20.506176,-20.694827,-20.831855,-20.937631,-21.023589,-21.120358,-21.197875,-21.27231,-21.325995,-21.377288,-21.422024,-21.500017,-21.557258
14,fsh          , Fishing,fsh,0.032393,-0.113166,-0.262252,-0.414673,-0.570257,-0.728845,-0.890336,-1.054611,-1.221613,-1.391257,-1.563485,-1.738241,-1.915528,-2.095292,-2.277525,-2.462202,-2.838155,-3.223897,-3.619454,-4.024816,-4.440017,-4.865131,-5.300168,-5.745246,-6.200139,-6.664901,-7.1393,-7.623162,-8.113373,-8.298854,-8.366286,-8.447414,-8.506213,-8.551322,-8.587656,-8.61806,-8.652939,-8.681987,-8.707303,-8.728631,-8.747683,-8.764363,-8.79368,-8.815977
15,coa          , Coal,coa,-0.004043,-0.100375,-0.200776,-0.30496,-0.412667,-0.523689,-0.637825,-0.754939,-0.874888,-0.997545,-1.122823,-1.250624,-1.380896,-1.513541,-1.64855,-1.785868,-2.065705,-2.354591,-2.652173,-2.958228,-3.272454,-3.594712,-3.924772,-4.262557,-4.606907,-4.958071,-5.315268,-5.677294,-6.042042,-6.239114,-6.360383,-6.514998,-6.638901,-6.743041,-6.833411,-6.913452,-7.009146,-7.091619,-7.166962,-7.229153,-7.285668,-7.335391,-7.422888,-7.489156
